Number,Level,Parameter,Forecast Valid,Description
040,125 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
041.1,125 mb,UGRD,analysis,U-Component of Wind [m/s]
041.2,125 mb,VGRD,analysis,V-Component of Wind [m/s]
042,125 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
043,150 mb,HGT,analysis,Geopotential Height [gpm]
044,150 mb,TMP,analysis,Temperature [K]
045,150 mb,RH,analysis,Relative Humidity [%]
046,150 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
047,150 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
048.1,150 mb,UGRD,analysis,U-Component of Wind [m/s]
048.2,150 mb,VGRD,analysis,V-Component of Wind [m/s]
049,150 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
050,175 mb,HGT,analysis,Geopotential Height [gpm]
051,175 mb,TMP,analysis,Temperature [K]
052,175 mb,RH,analysis,Relative Humidity [%]
053,175 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
054,175 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
055.1,175 mb,UGRD,analysis,U-Component of Wind [m/s]
055.2,175 mb,VGRD,analysis,V-Component of Wind [m/s]
056,175 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
057,200 mb,HGT,analysis,Geopotential Height [gpm]
058,200 mb,TMP,analysis,Temperature [K]
059,200 mb,RH,analysis,Relative Humidity [%]
060,200 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
061,200 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
062.1,200 mb,UGRD,analysis,U-Component of Wind [m/s]
062.2,200 mb,VGRD,analysis,V-Component of Wind [m/s]
063,200 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
064,225 mb,HGT,analysis,Geopotential Height [gpm]
065,225 mb,TMP,analysis,Temperature [K]
066,225 mb,RH,analysis,Relative Humidity [%]
067,225 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
068,225 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
069.1,225 mb,UGRD,analysis,U-Component of Wind [m/s]
069.2,225 mb,VGRD,analysis,V-Component of Wind [m/s]
070,225 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
071,250 mb,HGT,analysis,Geopotential Height [gpm]
072,250 mb,TMP,analysis,Temperature [K]
073,250 mb,RH,analysis,Relative Humidity [%]
074,250 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
075,250 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
076.1,250 mb,UGRD,analysis,U-Component of Wind [m/s]
076.2,250 mb,VGRD,analysis,V-Component of Wind [m/s]
077,250 mb,ABSV,analysis,Absolute Vorticity [1/s]
078,250 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
079,275 mb,HGT,analysis,Geopotential Height [gpm]
080,275 mb,TMP,analysis,Temperature [K]
081,275 mb,RH,analysis,Relative Humidity [%]
082,275 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
083,275 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
084.1,275 mb,UGRD,analysis,U-Component of Wind [m/s]
084.2,275 mb,VGRD,analysis,V-Component of Wind [m/s]
085,275 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
086,300 mb,HGT,analysis,Geopotential Height [gpm]
087,300 mb,TMP,analysis,Temperature [K]
088,300 mb,RH,analysis,Relative Humidity [%]
089,300 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
090,300 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
091.1,300 mb,UGRD,analysis,U-Component of Wind [m/s]
091.2,300 mb,VGRD,analysis,V-Component of Wind [m/s]
092,300 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
093,325 mb,HGT,analysis,Geopotential Height [gpm]
094,325 mb,TMP,analysis,Temperature [K]
095,325 mb,RH,analysis,Relative Humidity [%]
096,325 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
097,325 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
098.1,325 mb,UGRD,analysis,U-Component of Wind [m/s]
098.2,325 mb,VGRD,analysis,V-Component of Wind [m/s]
099,325 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
100,350 mb,HGT,analysis,Geopotential Height [gpm]
101,350 mb,TMP,analysis,Temperature [K]
102,350 mb,RH,analysis,Relative Humidity [%]
103,350 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
104,350 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
105.1,350 mb,UGRD,analysis,U-Component of Wind [m/s]
105.2,350 mb,VGRD,analysis,V-Component of Wind [m/s]
106,350 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
107,375 mb,HGT,analysis,Geopotential Height [gpm]
108,375 mb,TMP,analysis,Temperature [K]
109,375 mb,RH,analysis,Relative Humidity [%]
110,375 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
111,375 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
112.1,375 mb,UGRD,analysis,U-Component of Wind [m/s]
112.2,375 mb,VGRD,analysis,V-Component of Wind [m/s]
113,375 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
114,400 mb,HGT,analysis,Geopotential Height [gpm]
115,400 mb,TMP,analysis,Temperature [K]
116,400 mb,RH,analysis,Relative Humidity [%]
117,400 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
118,400 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
119.1,400 mb,UGRD,analysis,U-Component of Wind [m/s]
119.2,400 mb,VGRD,analysis,V-Component of Wind [m/s]
120,400 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
121,425 mb,HGT,analysis,Geopotential Height [gpm]
122,425 mb,TMP,analysis,Temperature [K]
123,425 mb,RH,analysis,Relative Humidity [%]
124,425 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
125,425 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
126.1,425 mb,UGRD,analysis,U-Component of Wind [m/s]
126.2,425 mb,VGRD,analysis,V-Component of Wind [m/s]
127,425 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
128,450 mb,HGT,analysis,Geopotential Height [gpm]
129,450 mb,TMP,analysis,Temperature [K]
130,450 mb,RH,analysis,Relative Humidity [%]
131,450 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
132,450 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
133.1,450 mb,UGRD,analysis,U-Component of Wind [m/s]
133.2,450 mb,VGRD,analysis,V-Component of Wind [m/s]
134,450 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
135,475 mb,HGT,analysis,Geopotential Height [gpm]
136,475 mb,TMP,analysis,Temperature [K]
137,475 mb,RH,analysis,Relative Humidity [%]
138,475 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
139,475 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
140.1,475 mb,UGRD,analysis,U-Component of Wind [m/s]
140.2,475 mb,VGRD,analysis,V-Component of Wind [m/s]
141,475 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
142,500 mb,HGT,analysis,Geopotential Height [gpm]
143,500 mb,TMP,analysis,Temperature [K]
144,500 mb,RH,analysis,Relative Humidity [%]
145,500 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
146,500 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
147.1,500 mb,UGRD,analysis,U-Component of Wind [m/s]
147.2,500 mb,VGRD,analysis,V-Component of Wind [m/s]
148,500 mb,ABSV,analysis,Absolute Vorticity [1/s]
149,500 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
150,525 mb,HGT,analysis,Geopotential Height [gpm]
151,525 mb,TMP,analysis,Temperature [K]
152,525 mb,RH,analysis,Relative Humidity [%]
153,525 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
154,525 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
155.1,525 mb,UGRD,analysis,U-Component of Wind [m/s]
155.2,525 mb,VGRD,analysis,V-Component of Wind [m/s]
156,525 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
157,550 mb,HGT,analysis,Geopotential Height [gpm]
158,550 mb,TMP,analysis,Temperature [K]
159,550 mb,RH,analysis,Relative Humidity [%]
160,550 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
161,550 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
162.1,550 mb,UGRD,analysis,U-Component of Wind [m/s]
162.2,550 mb,VGRD,analysis,V-Component of Wind [m/s]
163,550 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
164,575 mb,HGT,analysis,Geopotential Height [gpm]
165,575 mb,TMP,analysis,Temperature [K]
166,575 mb,RH,analysis,Relative Humidity [%]
167,575 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
168,575 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
169.1,575 mb,UGRD,analysis,U-Component of Wind [m/s]
169.2,575 mb,VGRD,analysis,V-Component of Wind [m/s]
170,575 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
171,600 mb,HGT,analysis,Geopotential Height [gpm]
172,600 mb,TMP,analysis,Temperature [K]
173,600 mb,RH,analysis,Relative Humidity [%]
174,600 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
175,600 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
176.1,600 mb,UGRD,analysis,U-Component of Wind [m/s]
176.2,600 mb,VGRD,analysis,V-Component of Wind [m/s]
177,600 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
178,625 mb,HGT,analysis,Geopotential Height [gpm]
179,625 mb,TMP,analysis,Temperature [K]
180,625 mb,RH,analysis,Relative Humidity [%]
181,625 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
182,625 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
183.1,625 mb,UGRD,analysis,U-Component of Wind [m/s]
183.2,625 mb,VGRD,analysis,V-Component of Wind [m/s]
184,625 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
185,650 mb,HGT,analysis,Geopotential Height [gpm]
186,650 mb,TMP,analysis,Temperature [K]
187,650 mb,RH,analysis,Relative Humidity [%]
188,650 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
189,650 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
190.1,650 mb,UGRD,analysis,U-Component of Wind [m/s]
190.2,650 mb,VGRD,analysis,V-Component of Wind [m/s]
191,650 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
192,675 mb,HGT,analysis,Geopotential Height [gpm]
193,675 mb,TMP,analysis,Temperature [K]
194,675 mb,RH,analysis,Relative Humidity [%]
195,675 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
196,675 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
197.1,675 mb,UGRD,analysis,U-Component of Wind [m/s]
197.2,675 mb,VGRD,analysis,V-Component of Wind [m/s]
198,675 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
199,700 mb,HGT,analysis,Geopotential Height [gpm]
200,700 mb,TMP,analysis,Temperature [K]
201,700 mb,RH,analysis,Relative Humidity [%]
202,700 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
203,700 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
204.1,700 mb,UGRD,analysis,U-Component of Wind [m/s]
204.2,700 mb,VGRD,analysis,V-Component of Wind [m/s]
205,700 mb,ABSV,analysis,Absolute Vorticity [1/s]
206,700 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
207,725 mb,HGT,analysis,Geopotential Height [gpm]
208,725 mb,TMP,analysis,Temperature [K]
209,725 mb,RH,analysis,Relative Humidity [%]
210,725 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
211,725 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
212.1,725 mb,UGRD,analysis,U-Component of Wind [m/s]
212.2,725 mb,VGRD,analysis,V-Component of Wind [m/s]
213,725 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
214,750 mb,HGT,analysis,Geopotential Height [gpm]
215,750 mb,TMP,analysis,Temperature [K]
216,750 mb,RH,analysis,Relative Humidity [%]
217,750 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
218,750 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
219.1,750 mb,UGRD,analysis,U-Component of Wind [m/s]
219.2,750 mb,VGRD,analysis,V-Component of Wind [m/s]
220,750 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
221,775 mb,HGT,analysis,Geopotential Height [gpm]
222,775 mb,TMP,analysis,Temperature [K]
223,775 mb,RH,analysis,Relative Humidity [%]
224,775 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
225,775 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
226.1,775 mb,UGRD,analysis,U-Component of Wind [m/s]
226.2,775 mb,VGRD,analysis,V-Component of Wind [m/s]
227,775 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
228,800 mb,HGT,analysis,Geopotential Height [gpm]
229,800 mb,TMP,analysis,Temperature [K]
230,800 mb,RH,analysis,Relative Humidity [%]
231,800 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
232,800 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
233.1,800 mb,UGRD,analysis,U-Component of Wind [m/s]
233.2,800 mb,VGRD,analysis,V-Component of Wind [m/s]
234,800 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
235,825 mb,HGT,analysis,Geopotential Height [gpm]
236,825 mb,TMP,analysis,Temperature [K]
237,825 mb,RH,analysis,Relative Humidity [%]
238,825 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
239,825 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
240.1,825 mb,UGRD,analysis,U-Component of Wind [m/s]
240.2,825 mb,VGRD,analysis,V-Component of Wind [m/s]
241,825 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
242,850 mb,HGT,analysis,Geopotential Height [gpm]
243,850 mb,TMP,analysis,Temperature [K]
244,850 mb,RH,analysis,Relative Humidity [%]
245,850 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
246,850 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
247.1,850 mb,UGRD,analysis,U-Component of Wind [m/s]
247.2,850 mb,VGRD,analysis,V-Component of Wind [m/s]
248,850 mb,ABSV,analysis,Absolute Vorticity [1/s]
249,850 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
250,875 mb,HGT,analysis,Geopotential Height [gpm]
251,875 mb,TMP,analysis,Temperature [K]
252,875 mb,RH,analysis,Relative Humidity [%]
253,875 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
254,875 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
255.1,875 mb,UGRD,analysis,U-Component of Wind [m/s]
255.2,875 mb,VGRD,analysis,V-Component of Wind [m/s]
256,875 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
257,900 mb,HGT,analysis,Geopotential Height [gpm]
258,900 mb,TMP,analysis,Temperature [K]
259,900 mb,RH,analysis,Relative Humidity [%]
260,900 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
261,900 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
262.1,900 mb,UGRD,analysis,U-Component of Wind [m/s]
262.2,900 mb,VGRD,analysis,V-Component of Wind [m/s]
263,900 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
264,925 mb,HGT,analysis,Geopotential Height [gpm]
265,925 mb,TMP,analysis,Temperature [K]
266,925 mb,RH,analysis,Relative Humidity [%]
267,925 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
268,925 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
269.1,925 mb,UGRD,analysis,U-Component of Wind [m/s]
269.2,925 mb,VGRD,analysis,V-Component of Wind [m/s]
270,925 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
271,950 mb,HGT,analysis,Geopotential Height [gpm]
272,950 mb,TMP,analysis,Temperature [K]
273,950 mb,RH,analysis,Relative Humidity [%]
274,950 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
275,950 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
276.1,950 mb,UGRD,analysis,U-Component of Wind [m/s]
276.2,950 mb,VGRD,analysis,V-Component of Wind [m/s]
277,950 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
278,surface,HINDEX,analysis,Haines Index [Numeric]
279,975 mb,HGT,analysis,Geopotential Height [gpm]
280,975 mb,TMP,analysis,Temperature [K]
281,975 mb,RH,analysis,Relative Humidity [%]
282,975 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
283,975 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
284.1,975 mb,UGRD,analysis,U-Component of Wind [m/s]
284.2,975 mb,VGRD,analysis,V-Component of Wind [m/s]
285,975 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
286,1000 mb,TMP,analysis,Temperature [K]
287,1000 mb,RH,analysis,Relative Humidity [%]
288,1000 mb,VVEL,analysis,Vertical Velocity (Pressure) [Pa/s]
289,1000 mb,DZDT,analysis,Vertical Velocity (Geometric) [m/s]
290.1,1000 mb,UGRD,analysis,U-Component of Wind [m/s]
290.2,1000 mb,VGRD,analysis,V-Component of Wind [m/s]
291,1000 mb,ABSV,analysis,Absolute Vorticity [1/s]
292,1000 mb,TKE,analysis,Turbulent Kinetic Energy [J/kg]
293,mean sea level,MSLET M,analysis,(Eta model reduction) [Pa]
294,1000 mb,HGT,analysis,Geopotential Height [gpm]
295,4000 m above ground,REFD,analysis,Reflectivity [dB]
296,1000 m above ground,REFD,analysis,Reflectivity [dB]
297,surface,PRES,analysis,Pressure [Pa]
298,surface,HGT,analysis,Geopotential Height [gpm]
299,surface,TMP,analysis,Temperature [K]
300,0-0.1 m below ground,TSOIL,analysis,Soil Temperature Validation to deprecate [K]
301,0-0.1 m below ground,SOILW,analysis,Volumetric Soil Moisture Content [Fraction]
302,0-0.1 m below ground,SOILL,analysis,Liquid Volumetric Soil Moisture (non Frozen) [Proportion]
303,0.1-0.4 m below ground,TSOIL,analysis,Soil Temperature Validation to deprecate [K]
304,0.1-0.4 m below ground,SOILW,analysis,Volumetric Soil Moisture Content [Fraction]
305,0.1-0.4 m below ground,SOILL,analysis,Liquid Volumetric Soil Moisture (non Frozen) [Proportion]
306,0.4-1 m below ground,TSOIL,analysis,Soil Temperature Validation to deprecate [K]
307,0.4-1 m below ground,SOILW,analysis,Volumetric Soil Moisture Content [Fraction]
308,0.4-1 m below ground,SOILL,analysis,Liquid Volumetric Soil Moisture (non Frozen) [Proportion]
309,1-2 m below ground,TSOIL,analysis,Soil Temperature Validation to deprecate [K]
310,1-2 m below ground,SOILW,analysis,Volumetric Soil Moisture Content [Fraction]
311,1-2 m below ground,SOILL,analysis,Liquid Volumetric Soil Moisture (non Frozen) [Proportion]
312,3 m underground,TSOIL,analysis,Soil Temperature Validation to deprecate [K]
313,0-1 m below ground,MSTAV,analysis,Moisture Availability [%]
314,0-2 m below ground,SOILM,analysis,Soil Moisture Content [kg/m^2]
315,surface,CNWAT,analysis,Plant Canopy Surface Water [kg/m^2]
316,surface,WEASD,analysis,Water Equivalent of Accumulated Snow Depth [kg/m^2]
317,surface,SNOWC,analysis,Snow Cover [%]
318,surface,SNOD,analysis,Snow Depth [m]
319,surface,SMDRY,analysis,Direct Evaporation Cease (soil moisture) [Proportion]
320,surface,POROS,analysis,Soil Porosity [Proportion]
321,2 m above ground,TMP,analysis,Temperature [K]
322,2 m above ground,SPFH,analysis,Specific Humidity [kg/kg]
323,2 m above ground,DPT,analysis,Dew Point Temperature [K]
324,2 m above ground,RH,analysis,Relative Humidity [%]
325.1,10 m above ground,UGRD,analysis,U-Component of Wind [m/s]
325.2,10 m above ground,VGRD,analysis,V-Component of Wind [m/s]
326,surface,APCP,0-0 day acc f,Total Precipitation [kg/m^2]
327,surface,ACPCP,0-0 day acc f,Convective Precipitation [kg/m^2]
328,surface,WEASD,0-0 day acc f,Water Equivalent of Accumulated Snow Depth [kg/m^2]
329,lowest level of the wet bulb zero,HGT,analysis,Geopotential Height [gpm]
330,surface,CSNOW,analysis,Categorical Snow [-]
331,surface,CICEP,analysis,Categorical Ice Pellets [-]
332,surface,CFRZR,analysis,Categorical Freezing Rain [-]
333,surface,CRAIN,analysis,Categorical Rain [-]
334,surface,SFCR,analysis,Surface Roughness [m]
335,surface,FRICV,analysis,Frictional Velocity [m/s]
336,surface,CD,analysis,Drag Coefficient [non-dim]
337,surface,VEG,analysis,Vegetation [%]
338,surface,VGTYP,analysis,Vegetation Type [Integer(0- 13)]
339,surface,SOTYP,analysis,Soil Type [-]
340,surface,RLYRS,analysis,Number of Soil Layers in Root Zone [non-dim]
341,surface,WILT,analysis,Wilting Point [Fraction]
342,surface,SMREF,analysis,Transpiration Stress-onset (soil moisture) [Proportion]
343,500-1000 mb,LFTX,analysis,Surface Lifted Index [K]
344,surface,CAPE,analysis,Convective Available Potential Energy [J/kg]
345,surface,CIN,analysis,Convective Inhibition [J/kg]
346,entire atmosphere (considered as a single layer),PWAT,analysis,Precipitable Water [kg/m^2]
347,cloud base,HGT,analysis,Geopotential Height [gpm]
348,3000-0 m above ground,HLCY,analysis,Storm Relative Helicity [m^2/s^2]
349,0-6000 m above ground,VUCSH,analysis,Vertical U-Component Shear [1/s]
350,0-6000 m above ground,VVCSH,analysis,Vertical V-Component Shear [1/s]
351,tropopause,PRES,analysis,Pressure [Pa]
352,tropopause,TMP,analysis,Temperature [K]
353.1,tropopause,UGRD,analysis,U-Component of Wind [m/s]
353.2,tropopause,VGRD,analysis,V-Component of Wind [m/s]
354,max wind,PRES,analysis,Pressure [Pa]
355.1,max wind,UGRD,analysis,U-Component of Wind [m/s]
355.2,max wind,VGRD,analysis,V-Component of Wind [m/s]
356,80 m above ground,TMP,analysis,Temperature [K]
357,80 m above ground,SPFH,analysis,Specific Humidity [kg/kg]
358,80 m above ground,PRES,analysis,Pressure [Pa]
359.1,80 m above ground,UGRD,analysis,U-Component of Wind [m/s]
359.2,80 m above ground,VGRD,analysis,V-Component of Wind [m/s]
360,0C isotherm,HGT,analysis,Geopotential Height [gpm]
361,0C isotherm,RH,analysis,Relative Humidity [%]
362,30-0 mb above ground,TMP,analysis,Temperature [K]
363,30-0 mb above ground,RH,analysis,Relative Humidity [%]
364.1,30-0 mb above ground,UGRD,analysis,U-Component of Wind [m/s]
364.2,30-0 mb above ground,VGRD,analysis,V-Component of Wind [m/s]
365,30-0 mb above ground,PLI,analysis,Parcel Lifted Index (to 500 hPa) [K]
366,60-30 mb above ground,TMP,analysis,Temperature [K]
367,60-30 mb above ground,RH,analysis,Relative Humidity [%]
368.1,60-30 mb above ground,UGRD,analysis,U-Component of Wind [m/s]
368.2,60-30 mb above ground,VGRD,analysis,V-Component of Wind [m/s]
369,90-60 mb above ground,TMP,analysis,Temperature [K]
370,90-60 mb above ground,RH,analysis,Relative Humidity [%]
371.1,90-60 mb above ground,UGRD,analysis,U-Component of Wind [m/s]
371.2,90-60 mb above ground,VGRD,analysis,V-Component of Wind [m/s]
372,120-90 mb above ground,TMP,analysis,Temperature [K]
373,120-90 mb above ground,RH,analysis,Relative Humidity [%]
374.1,120-90 mb above ground,UGRD,analysis,U-Component of Wind [m/s]
374.2,120-90 mb above ground,VGRD,analysis,V-Component of Wind [m/s]
375,150-120 mb above ground,TMP,analysis,Temperature [K]
376,150-120 mb above ground,RH,analysis,Relative Humidity [%]
377.1,150-120 mb above ground,UGRD,analysis,U-Component of Wind [m/s]
377.2,150-120 mb above ground,VGRD,analysis,V-Component of Wind [m/s]
378,180-150 mb above ground,TMP,analysis,Temperature [K]
379,180-150 mb above ground,RH,analysis,Relative Humidity [%]
380.1,180-150 mb above ground,UGRD,analysis,U-Component of Wind [m/s]
380.2,180-150 mb above ground,VGRD,analysis,V-Component of Wind [m/s]
381,180-0 mb above ground,4LFTX,analysis,Best (4 layer) Lifted Index [K]
382,180-0 mb above ground,CAPE,analysis,Convective Available Potential Energy [J/kg]
383,180-0 mb above ground,CIN,analysis,Convective Inhibition [J/kg]
384,surface,HPBL,analysis,Planetary Boundary Layer Height [m]
385,0.33-1 sigma layer,RH,analysis,Relative Humidity [%]
386,surface,LTNG,analysis,Lightning [non-dim]
387,surface,LAND,analysis,"Land Cover (0=sea, 1=land) [Proportion]"
388,surface,ICEC,analysis,Ice Cover [Proportion]
389,surface,ALBDO,analysis,Albedo [%]
